LOT,POLLOT
FHI,FLYHIRELAND
TJA,T.J. Air
QER,russian doll
MXD,Malindo
M1F,Maryland Flight
IWA,APACHE
JTO,JETHAPPY
EAV,EAVA
XAU,XAIR
XPT,XPTO
ASL,AIR SERBIA
LTU,LITUANICA
RAB,Rainbow
RAY,Rainbow CAN
RPO,Rainbow Air
DOB,DOBROLET
SAL,Spike Air
FPT,FlyPortugal
DWA,DENSE
DC2,DC2
SAE,ADLER EXPRESS
OTJ,TENDER AIR
GTA,CITY AIR
NLH,NORSTAR
TNU,TRANSNUSA
RXR,Rexair
WEN,Encore
BSX,5B
PYB,BOPY
SJM,RussianConnecty
